combination,train_RMSE,test_RMSE,train_R2,test_R2,train_std_diff,test_std_diff,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
63,16.48683369358811,18.151506696766955,0.20739621110411754,-0.2094163292619977,0.8902829824813471,1.0997346631174256,0.1,0.01,8,100,100
64,17.79636694695061,19.023983066303867,0.07648419198347656,-0.3284749479528626,0.9609972986520428,1.1525948759008355,0.1,0.01,10,1,10
65,14.865864302777824,18.109462127754803,0.355590464456473,-0.20382004487396865,0.8027512289268245,1.097187333536971,0.1,0.01,10,1,50
66,11.811530903613843,16.868327554964235,0.5931877603439846,-0.044466509493149564,0.637818343775103,1.021991442964739,0.1,0.01,10,1,100
67,17.951874078580598,19.080972225567063,0.06027405749615011,-0.3364461565467891,0.969394626818124,1.1560476445833836,0.1,0.01,10,10,10
68,15.547167476959181,18.353320819270408,0.2951703201956475,-0.2364591707345045,0.839541350860309,1.111961856690464,0.1,0.01,10,10,50
69,12.967634168664285,17.353472075413684,0.5096534432837354,-0.10540959553601392,0.7002474967582996,1.0513846087593322,0.1,0.01,10,10,100
70,18.33273236224675,19.116424472546694,0.019977545804659602,-0.3414169761094945,0.9899608346774839,1.1581955690251515,0.1,0.01,10,100,10
71,17.439895410047146,18.69386881010874,0.11311076818040744,-0.2827701600111887,0.9417479661881901,1.1325944375685362,0.1,0.01,10,100,50
72,16.48683369358811,18.151506696766955,0.20739621110411754,-0.2094163292619977,0.8902829824813471,1.0997346631174256,0.1,0.01,10,100,100
73,13.771916395544899,18.397481656092552,0.44694237415127014,-0.24241654093424292,0.7436784425063898,1.1146374033443536,0.1,0.1,3,1,10
74,4.683220836512452,16.30904619552162,0.9360455299594849,0.023645362651161128,0.25289221031996045,0.9881065920986656,0.1,0.1,3,1,50
75,1.8945010135334988,15.040217036603915,0.9895342269291827,0.16965480986225812,0.10230236102269229,0.9112327859212167,0.1,0.1,3,1,100
76,14.327961065062238,18.65717895416116,0.40138111293766077,-0.2777397977334375,0.7737046510538368,1.1303715308399436,0.1,0.1,3,10,10
77,6.211303830374614,16.67218635647658,0.8875013846854429,-0.020318073690305916,0.33540813245143164,1.0101079515033557,0.1,0.1,3,10,50
78,3.9085430337970872,15.934895103108078,0.9554537217202428,0.06792923671318973,0.21105989263656225,0.9654381198641424,0.1,0.1,3,10,100
79,16.914716320923517,18.86764980833703,0.16572147057368736,-0.3067306611799414,0.9133884876799755,1.1431232047246445,0.1,0.1,3,100,10
80,12.969504639617849,17.532534126859893,0.509511976439865,-0.12833966007035524,0.7003485015048829,1.0622333359814853,0.1,0.1,3,100,50
81,11.791383238806873,16.92085117960051,0.594574426683274,-0.05098103505762386,0.636730377252983,1.0251736609265882,0.1,0.1,3,100,100
82,12.710704270469098,18.281381988180655,0.528891588257667,-0.22678516106390978,0.6863733763356012,1.1076033410313955,0.1,0.1,5,1,10
83,3.0363694738287466,15.815191078754921,0.9731161871773588,0.08188019780056233,0.16396283976145684,0.958185682526846,0.1,0.1,5,1,50
84,0.9212688017388567,14.98425724891272,0.9975251187903026,0.17582220732234077,0.04974817795354278,0.9078423831688291,0.1,0.1,5,1,100
85,13.793482689885847,18.925387408489026,0.44520888374476386,-0.31474044862399997,0.7448430145038861,1.1466213187552374,0.1,0.1,5,10,10
86,5.6156898778944155,16.893732949771245,0.9080423504278693,-0.047615021543336855,0.3032451971130471,1.023530664681492,0.1,0.1,5,10,50
87,3.562165446707583,16.037739086941173,0.9629993116971067,0.05585922260258591,0.19235562976656884,0.9716690678401849,0.1,0.1,5,10,100
88,16.914716320923517,18.86764980833703,0.16572147057368736,-0.3067306611799414,0.9133884876799755,1.1431232047246445,0.1,0.1,5,100,10
89,12.969504639617849,17.532534126859893,0.509511976439865,-0.12833966007035524,0.7003485015048829,1.0622333359814853,0.1,0.1,5,100,50
90,11.791383238806873,16.92085117960051,0.594574426683274,-0.05098103505762386,0.636730377252983,1.0251736609265882,0.1,0.1,5,100,100
91,12.573143261620988,18.264007117846198,0.5390335074233303,-0.224454363099734,0.6789451322284222,1.1065506599788977,0.1,0.1,8,1,10
92,2.7601497112603104,15.807315029333704,0.9777849698137284,0.0827944272048583,0.14904707372595938,0.9577085009516944,0.1,0.1,8,1,50
93,0.806664923495436,15.233238417404994,0.9981025603337138,0.14820527492168112,0.04355961049282033,0.9229272588228818,0.1,0.1,8,1,100
94,13.762973405413232,18.87524540938653,0.4476604126397452,-0.3077829811806734,0.7431955243139283,1.143583394939203,0.1,0.1,8,10,10
95,5.443155085366412,16.775151196376974,0.9136061065526235,-0.03295964239412075,0.29392838149347966,1.0163462217148842,0.1,0.1,8,10,50
96,3.5210531590640293,15.965803537488975,0.963848460728322,0.06430991099253958,0.19013558128787467,0.9673107510037611,0.1,0.1,8,10,100
97,16.914716320923517,18.86764980833703,0.16572147057368736,-0.3067306611799414,0.9133884876799755,1.1431232047246445,0.1,0.1,8,100,10
98,12.969504639617849,17.532534126859893,0.509511976439865,-0.12833966007035524,0.7003485015048829,1.0622333359814853,0.1,0.1,8,100,50
99,11.791383238806873,16.92085117960051,0.594574426683274,-0.05098103505762386,0.636730377252983,1.0251736609265882,0.1,0.1,8,100,100
100,12.567648701533061,18.224693389223205,0.5394363111790828,-0.2191886996277881,0.6786484279956134,1.1041687822193618,0.1,0.1,10,1,10
101,2.763526572190932,15.777739312106316,0.9777305793171428,0.08622342638551506,0.14922942297971015,0.9559166143626152,0.1,0.1,10,1,50
102,0.8074570030867272,15.207822434174947,0.9980988322402613,0.1510452672449869,0.043602382500714826,0.9213873955915682,0.1,0.1,10,1,100
103,13.762973405413232,18.87524540938653,0.4476604126397452,-0.3077829811806734,0.7431955243139283,1.143583394939203,0.1,0.1,10,10,10
104,5.441553421398964,16.774715119897166,0.9136569423732097,-0.0329059387291506,0.29384189222571766,1.0163198014056158,0.1,0.1,10,10,50
105,3.518861500234065,15.971146384947726,0.9638934513478821,0.06368356157205701,0.1900172325135748,0.9676344549611402,0.1,0.1,10,10,100
106,16.914716320923517,18.86764980833703,0.16572147057368736,-0.3067306611799414,0.9133884876799755,1.1431232047246445,0.1,0.1,10,100,10
107,12.969504639617849,17.532534126859893,0.509511976439865,-0.12833966007035524,0.7003485015048829,1.0622333359814853,0.1,0.1,10,100,50
108,11.791383238806873,16.92085117960051,0.594574426683274,-0.05098103505762386,0.636730377252983,1.0251736609265882,0.1,0.1,10,100,100
109,2.752442619813235,18.6894069261653,0.9779088574647173,-0.2821578856251452,0.1486308936099176,1.132324108029651,0.1,1.0,3,1,10
